"occ","occ_stand","n","st_sector","st_subsector","st_class"
"***","***",92,4,0,0
"***arbetare","arbetare",5,4,0,8
"***lärare","lärare",1,3,5,7
"***ordförande","ordförande",1,4,0,7
"*ä***","ägare",1,4,0,1
"?","n/a",4,4,0,0
"? inneh.","innehavare",1,4,0,1
"? rensare","rensare",1,4,0,8
"_","n/a",10,4,0,0
"__","n/a",1,4,0,0
"_arbetare","arbetare",2,4,0,8
"_elev","elev",1,4,0,12
"_förman","förman",1,2,10,8
"_änka","änka",1,4,0,13
"affãrsbitr","affärsbiträde",3,3,1,8
"affãrslritr","affärsbiträde",1,3,1,8
"affãsbitr","affärsbiträde",1,3,1,8
"affärsförestėndare","affärsföreståndare",1,3,1,6
"affȧramnebavarinna","affärsinnehavarinna",1,3,1,6
"affȧrl brit","affärsbiträde",1,3,1,8
"ajõman","sjöman",1,3,2,8
"amȧbrnk. ãg","ägare",1,4,0,1
"anguet h. ãg","hemägare",1,1,0,10
"arbet***","arbetare",1,4,0,8
"arbetare?","arbetare",1,4,0,8
"aõrvst","överste",1,3,6,7
"bag>lärl","bagerilärling",0,2,6,8
"bank…","bankman",1,3,3,7
"bhauffã","chaufför",1,3,7,8
"bhauffõr","chaufför",1,3,7,8
"bilmontõr","bilmontör",1,2,2,8
"bitrãde","biträde",2,4,0,8
"blomsterarbetare?","blomsterarbetare",2,1,1,8
"bohfõrea","bokförerska",1,4,0,7
"bokhâll","bokhållare",0,4,0,7
"bokhȧll","bokhållare",0,4,0,7
"brädgȧrdsarbetare","brädgårdsarbetare",1,2,4,8
"brödräkn;a","brödräknare",0,2,6,8
"bussför;e","bussförare",1,3,2,8
"butik***","butiksarbetare",2,3,1,8
"byggn>grovarb","byggnadsgrovarbetare",0,2,9,8
"byggn…","byggnadsarbetare",1,2,9,8
"bygg…","byggarbetare",1,2,9,8
"byrȧdirektör","byrådirektör",1,4,0,1
"byrȧingeniör","byråingenjör",1,3,6,7
"byrȧsekr","byråsekreterare",0,3,6,7
"byrȧsekreterare","byråsekreterare",0,3,6,7
"bårfõr","båtförare",1,3,2,8
"bărare","bärare",0,3,2,8
"b…arb.","bruksarbetare",1,2,2,8
"caféidkare?","kafeidkare",1,3,1,6
"cafėbitr","kafébiträde",0,3,4,8
"chauffõr","chaufför",3,3,7,8
"chauttãr","chaufför",2,3,7,8
"chef***","chef",1,4,0,1
"drãng","dräng",1,1,1,8
"drõug","dräng",6,1,1,8
"e.lauibrevbãreu","lantbrevbärare",1,3,2,8
"eyrȧingeniér","ingenjör",1,4,0,7
"f gȧrdsäg","fd. gårdsägare",0,1,0,10
"f hem.ἂg","fd. hemmansägare",0,1,0,10
"f hemἂg","fd. hemmansägare",0,1,0,10
"f mȧl.mäst","fd. målaremästare",0,2,0,10
"f plàtaslag","fd. plåtslagare",0,2,0,10
"f plấtslag","fd. plåtslagare",0,2,0,10
"f smȧsk. lär","fd. småskolelärare",0,3,0,10
"f smȧsk.lär","fd. småskolelärare",0,3,0,10
"f smấsk.lär","fd. småskolelärare",0,3,0,10
"f spȧrv. kondukt","fd. spårvagnskonduktör",0,3,0,10
"f Õverlär","fd. överlärare",0,3,0,10
"f örestȧndarinna","fd. föreståndarinna",1,4,0,7
"f Ỗvertryck","fd. övertryckare",0,2,5,8
"f. förestȧndarinna","fd. föreståndarinna",2,4,0,7
"f. heuu. ãg","fd. hemmansägare",3,1,0,10
"f. hus…","fd. husägare",1,4,0,10
"f. lãr","fd. lärare",1,3,0,10
"f. spȧrvagnskondukiör","fd. spårvagnskonduktör",1,3,0,10
"f. sågv…","fd. sågverksarbetare",1,2,0,10
"f. trãdg.arb","fd. trädgårdsarbetare",1,1,0,10
"f.bokhȧllare","fd. bokhållare",1,3,0,10
"f.d. verkmâstare","fd. verkmästare",1,2,0,10
"f.d.__","fd.",1,4,0,10
"f.d.shrãdel","fd. skräddare",1,3,0,10
"f.förestȧndarinna","fd. föreståndarinna",0,4,0,7
"f.h.ãg","fd. husägare",3,4,0,10
"f.hãg","fd. hemmansägare",2,1,0,10
"f.lár:a,h","fd. lärarinna",1,3,0,10
"f.smȧsholl","fd. småskolelärare",1,3,0,10
"f.smȧskollärarinna","fd. småskolelärarinna",1,3,0,10
"f.spȧrvägsman","fd. spårvägsman",1,3,0,10
"f.ȧkare","fd. åkare",1,3,0,10
"fabr.fŏrm","fabriksförman",0,2,10,8
"fabrikõv","fabrikör",1,2,0,1
"fastighetsãg","fastighetsägare",1,3,0,1
"filkör?","filkörare",1,3,2,8
"flagg_officer","flaggofficer",1,3,6,7
"fmashȧllerska","hushållerska",1,3,7,8
"fmbrikõr","fabrikör",1,2,0,1
"fogearbetare?","fogdearbetare",1,3,6,8
"folkehallãlare","folkskolelärare",1,3,5,7
"fãrsãlj","försäljare",2,3,1,7
"fõestadera","föreståndare",1,4,0,7
"fõnmekan","mekaniker",1,2,10,8
"fõrrådsarb","förrådsarbetare",0,3,1,8
"fõssaljare","försäljare",1,3,1,7
"fõssådsraht","förrådsarbetare",1,3,1,8
"föresiȧndarinna","föreståndarinna",1,4,0,7
"förestȧndare","föreståndare",6,4,0,7
"förestȧndarinna","förestȧndarinna",4,4,0,8
"förràdsarb","förrådsarbetare",0,3,1,8
"förràdsm","förrådsman",0,3,1,8
"förrădsarb","förrådsarbetare",0,3,1,8
"förrădsarbh","förrådsarbetare",0,3,1,8
"förrădsm","förrådsförman",0,3,1,8
"förrădsm","förrådsförvaltare",0,3,1,7
"förrăsarb","förrådsarbetare",0,3,1,8
"förrȧdsarb","förrådsarbetare",0,3,1,8
"förrȧdsarbetare","förrådsarbetare",1,3,1,8
"förrȧdsbit","förrådsbiträde",1,3,1,8
"förrȧdsförv","förrådsförvaltare",0,3,1,7
"förrȧdsförvalt","förrådsförvaltare",0,3,1,7
"förrȧdsm","förrådsman",0,3,1,8
"förrȧdsmäst","förrådsmästare",0,3,1,6
"förrȧdäm","förrådsmästare",0,3,1,6
"förrấdsförm","förrådsförman",0,3,1,8
"försãljare","försäljare",1,3,1,7
"för…syster","syster",1,4,0,13
"galfvan…","galvaniserare",1,2,8,8
"garn***","garnbärare",1,2,7,8
"glasmãnteriarb","glasmästeriarbetare",1,2,3,8
"gohauffõr","chaufför",1,3,7,8
"grundlȧgg","grundläggare",1,2,9,8
"gymnastik…","gymnastikdirektör",1,3,5,7
"gárdskarl","gårdskarl",0,3,7,8
"gȧisag","gårdsägare",3,1,0,1
"gȧrdakarl","gårdskarl",1,3,7,8
"gȧrdskarl","gårdskarl",0,3,7,8
"gȧrdsäg","gårdsägare",0,1,0,1
"gȧrdsäg fd","fd. gårdsägare",0,1,0,10
"gȧrdukarl","gårdskarl",1,3,7,8
"h. ãg","husägare",6,3,0,1
"hand.bokhȧll","handelsbokhållare",0,3,1,7
"handelsbiteâde","handelsbiträde",1,3,1,8
"handelsförestėndare","handelsföreståndare",1,3,1,7
"handfãesk","handelsförståndare",2,3,1,6
"handlitnãre","handlare",2,3,1,6
"hapsâttare","hopsättare",1,2,2,8
"hauãg","hemmansägare",9,1,1,3
"hem,ἂg","hemägare",0,1,0,10
"hem.âg","",0,1,1,3
"hem.ἂg","hemägare",0,1,0,10
"hem;ögare","hemägare",1,1,0,10
"hembitrâde","hembiträde",3,3,7,8
"hemm. ãg","hemmansägare",1,1,1,3
"hemmansâgart","hemmansägare",1,1,1,3
"hemmerd.?","hemmansägardotter",1,4,0,13
"hemnãg","hemägare",1,1,0,10
"hemãg","hemmansägare",5,1,1,3
